MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
T. HONDURAS,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,1.3%,1.2%
T. HONDURAS,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,1.7%,1.5%
T. HONDURAS,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,5.8%,6.2%
T. HONDURAS,DENTIFRICOS,SENSODYNE,Part. de Vtas Valor - CATEGORIA,1.8%,1.6%
T. HONDURAS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. HONDURAS,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,93.8%,93.1%
T. HONDURAS,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,1.2%,1.0%
T. HONDURAS,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,0.8%,0.8%
T. HONDURAS,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,3.6%,4.1%
T. HONDURAS,DENTIFRICOS,SENSODYNE,Part. de Vtas (MULTI) - CATEGORIA,0.4%,0.3%
T. HONDURAS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. HONDURAS,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,94.3%,93.8%
T. HONDURAS,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,0.7%,0.6%
T. HONDURAS,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,0.5%,0.5%
T. HONDURAS,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,3.9%,4.2%
T. HONDURAS,DENTIFRICOS,SENSODYNE,Part. de Vtas Unds - CATEGORIA,0.4%,0.4%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$11,639,787","$12,877,014"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas Valor,"$9,196,270","$10,142,898"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas Valor,"$284,210","$264,100"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas Valor,"$284,859","$313,085"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas Valor,"$1,368,442","$1,578,334"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Vtas Valor,"$426,260","$422,900"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"657,097","698,205"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas (MULTI),"547,158","571,361"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas (MULTI),"20,525","16,833"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas (MULTI),"10,686","11,796"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas (MULTI),"67,239","77,295"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Vtas (MULTI),"7,005","6,494"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"4,912,899","5,198,021"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas Unds,"3,997,014","4,169,783"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas Unds,"109,943","93,276"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas Unds,"56,342","63,154"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas Unds,"645,288","707,318"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Vtas Unds,"65,067","61,770"
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,79.0%,78.8%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,2.4%,2.1%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,2.4%,2.4%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,11.8%,12.3%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Part. de Vtas Valor - CATEGORIA,3.7%,3.3%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,83.3%,81.8%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,3.1%,2.4%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,1.6%,1.7%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,10.2%,11.1%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Part. de Vtas (MULTI) - CATEGORIA,1.1%,0.9%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,81.4%,80.2%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,2.2%,1.8%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,1.1%,1.2%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,13.1%,13.6%
T. HONDURAS AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Part. de Vtas Unds - CATEGORIA,1.3%,1.2%
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$12,263,527","$13,070,819"
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Vtas Valor,"$12,091,792","$12,911,523"
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Vtas Valor,"$19,190","$34,749"
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Vtas Valor,"$3,174",$0
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Vtas Valor,"$124,766","$84,486"
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Vtas Valor,"$24,605","$40,061"
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"1,234,194","1,236,760"
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Vtas (MULTI),"1,226,523","1,229,335"
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Vtas (MULTI),"1,318","1,692"
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Vtas (MULTI),384,0
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Vtas (MULTI),"4,833","3,925"
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Vtas (MULTI),"1,137","1,807"
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"12,270,383","12,355,675"
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Vtas Unds,"12,215,244","12,288,559"
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Vtas Unds,"6,984","9,667"
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Vtas Unds,"3,922",0
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Vtas Unds,"27,676","30,933"
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Vtas Unds,"16,556","26,515"
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,98.6%,98.8%
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,0.2%,0.3%
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Part. de Vtas Valor - CATEGORIA,0.0%,0.0%
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,1.0%,0.6%
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,0.2%,0.3%
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,99.4%,99.4%
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,0.1%,0.1%
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Part. de Vtas (MULTI) - CATEGORIA,0.0%,0.0%
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,0.4%,0.3%
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,0.1%,0.1%
T. HONDURAS TRADIC.,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. HONDURAS TRADIC.,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,99.6%,99.5%
T. HONDURAS TRADIC.,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,0.1%,0.1%
T. HONDURAS TRADIC.,DENTIFRICOS,FRESKA,Part. de Vtas Unds - CATEGORIA,0.0%,0.0%
T. HONDURAS TRADIC.,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,0.2%,0.3%
T. HONDURAS TRADIC.,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,0.1%,0.2%
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$22,867,015","$24,688,399"
T. NICARAGUA,DENTIFRICOS,COLGATE,Vtas Valor,"$21,536,879","$23,020,729"
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Vtas Valor,"$34,039","$112,776"
T. NICARAGUA,DENTIFRICOS,CREST,Vtas Valor,"$122,834","$100,690"
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Vtas Valor,"$32,480","$23,637"
T. NICARAGUA,DENTIFRICOS,ORAL-B,Vtas Valor,"$1,138,968","$1,423,844"
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"1,750,955","1,755,054"
T. NICARAGUA,DENTIFRICOS,COLGATE,Vtas (MULTI),"1,668,692","1,655,123"
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Vtas (MULTI),"1,999","11,519"
T. NICARAGUA,DENTIFRICOS,CREST,Vtas (MULTI),"8,094","6,389"
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Vtas (MULTI),"2,212","1,107"
T. NICARAGUA,DENTIFRICOS,ORAL-B,Vtas (MULTI),"69,943","80,864"
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"16,387,785","16,537,397"
T. NICARAGUA,DENTIFRICOS,COLGATE,Vtas Unds,"15,703,920","15,680,621"
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Vtas Unds,"20,158","75,921"
T. NICARAGUA,DENTIFRICOS,CREST,Vtas Unds,"45,981","39,531"
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Vtas Unds,"19,119","11,118"
T. NICARAGUA,DENTIFRICOS,ORAL-B,Vtas Unds,"598,465","729,635"
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. NICARAGUA,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,94.2%,93.2%
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,0.1%,0.5%
T. NICARAGUA,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,0.5%,0.4%
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,0.1%,0.1%
T. NICARAGUA,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,5.0%,5.8%
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. NICARAGUA,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,95.3%,94.3%
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,0.1%,0.7%
T. NICARAGUA,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,0.5%,0.4%
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,0.1%,0.1%
T. NICARAGUA,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,4.0%,4.6%
T. NICARAGUA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. NICARAGUA,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,95.8%,94.8%
T. NICARAGUA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,0.1%,0.5%
T. NICARAGUA,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,0.3%,0.2%
T. NICARAGUA,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,0.1%,0.1%
T. NICARAGUA,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,3.7%,4.4%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$12,165,679","$13,139,690"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas Valor,"$11,003,141","$11,786,524"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Vtas Valor,"$34,039","$112,776"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas Valor,"$122,834","$100,690"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas Valor,"$30,944","$21,730"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas Valor,"$972,906","$1,111,247"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"910,369","915,657"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas (MULTI),"839,209","833,913"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Vtas (MULTI),"1,999","11,519"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas (MULTI),"8,094","6,389"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas (MULTI),"2,064",892
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas (MULTI),"58,988","62,891"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"6,360,997","6,398,905"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas Unds,"5,816,188","5,782,020"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Vtas Unds,"20,158","75,921"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas Unds,"45,981","39,531"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Vtas Unds,"18,301","9,930"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas Unds,"460,226","490,933"
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,90.4%,89.7%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,0.3%,0.9%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,1.0%,0.8%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,0.3%,0.2%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,8.0%,8.5%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,92.2%,91.1%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,0.2%,1.3%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,0.9%,0.7%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,0.2%,0.1%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,6.5%,6.9%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,91.4%,90.4%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,0.3%,1.2%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,0.7%,0.6%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,0.3%,0.2%
T. NICARAGUA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,7.2%,7.7%
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$10,701,336","$11,548,709"
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Vtas Valor,"$10,533,738","$11,234,205"
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Vtas Valor,,$0
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Vtas Valor,"$1,536","$1,907"
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Vtas Valor,"$166,062","$312,597"
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"840,586","839,397"
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Vtas (MULTI),"829,483","821,209"
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Vtas (MULTI),,0
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Vtas (MULTI),148,215
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Vtas (MULTI),"10,955","17,973"
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"10,026,789","10,138,492"
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Vtas Unds,"9,887,732","9,898,601"
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Vtas Unds,,0
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Vtas Unds,818,"1,188"
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Vtas Unds,"138,239","238,703"
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,98.4%,97.3%
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,0.0%,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,1.6%,2.7%
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,98.7%,97.8%
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,0.0%,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,1.3%,2.1%
T. NICARAGUA TRADIC,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. NICARAGUA TRADIC,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,98.6%,97.6%
T. NICARAGUA TRADIC,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,0.0%,0.0%
T. NICARAGUA TRADIC,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,1.4%,2.4%
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$69,408,964","$74,902,639"
T. COSTA RICA,DENTIFRICOS,COLGATE,Vtas Valor,"$57,661,092","$62,245,163"
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Vtas Valor,"$808,791","$1,232,724"
T. COSTA RICA,DENTIFRICOS,CREST,Vtas Valor,"$996,766","$1,295,102"
T. COSTA RICA,DENTIFRICOS,ORAL-B,Vtas Valor,"$7,674,389","$7,641,535"
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Vtas Valor,"$1,543,518","$1,828,512"
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"2,856,616","2,831,820"
T. COSTA RICA,DENTIFRICOS,COLGATE,Vtas (MULTI),"2,321,224","2,330,726"
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Vtas (MULTI),"67,727","96,981"
T. COSTA RICA,DENTIFRICOS,CREST,Vtas (MULTI),"53,074","62,453"
T. COSTA RICA,DENTIFRICOS,ORAL-B,Vtas (MULTI),"366,008","297,542"
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Vtas (MULTI),"21,895","25,456"
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"25,254,670","24,727,675"
T. COSTA RICA,DENTIFRICOS,COLGATE,Vtas Unds,"20,847,723","20,812,781"
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Vtas Unds,"437,114","624,818"
T. COSTA RICA,DENTIFRICOS,CREST,Vtas Unds,"311,560","362,686"
T. COSTA RICA,DENTIFRICOS,ORAL-B,Vtas Unds,"3,242,713","2,536,358"
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Vtas Unds,"210,306","245,182"
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. COSTA RICA,DENTIFRICOS,COLGATE,Part. de Vtas Valor - CATEGORIA,83.1%,83.1%
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,1.2%,1.6%
T. COSTA RICA,DENTIFRICOS,CREST,Part. de Vtas Valor - CATEGORIA,1.4%,1.7%
T. COSTA RICA,DENTIFRICOS,ORAL-B,Part. de Vtas Valor - CATEGORIA,11.1%,10.2%
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Part. de Vtas Valor - CATEGORIA,2.2%,2.4%
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. COSTA RICA,DENTIFRICOS,COLGATE,Part. de Vtas (MULTI) - CATEGORIA,81.3%,82.3%
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,2.4%,3.4%
T. COSTA RICA,DENTIFRICOS,CREST,Part. de Vtas (MULTI) - CATEGORIA,1.9%,2.2%
T. COSTA RICA,DENTIFRICOS,ORAL-B,Part. de Vtas (MULTI) - CATEGORIA,12.8%,10.5%
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Part. de Vtas (MULTI) - CATEGORIA,0.8%,0.9%
T. COSTA RICA,DENTIFRICOS,DENTIFRICOS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. COSTA RICA,DENTIFRICOS,COLGATE,Part. de Vtas Unds - CATEGORIA,82.6%,84.2%
T. COSTA RICA,DENTIFRICOS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,1.7%,2.5%
T. COSTA RICA,DENTIFRICOS,CREST,Part. de Vtas Unds - CATEGORIA,1.2%,1.5%
T. COSTA RICA,DENTIFRICOS,ORAL-B,Part. de Vtas Unds - CATEGORIA,12.8%,10.3%
T. COSTA RICA,DENTIFRICOS,SENSODYNE,Part. de Vtas Unds - CATEGORIA,0.8%,1.0%
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Valor,"$65,005,985","$70,483,401"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas Valor,"$53,463,139","$57,965,355"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Vtas Valor,"$807,724","$1,231,362"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas Valor,"$974,548","$1,277,068"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas Valor,"$7,588,322","$7,568,256"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Vtas Valor,"$1,543,518","$1,827,100"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas (MULTI),"2,699,050","2,690,565"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,COLGATE,Vtas (MULTI),"2,172,248","2,194,395"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,CONTROLLED LABEL,Vtas (MULTI),"67,654","96,903"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,CREST,Vtas (MULTI),"52,027","61,711"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,ORAL-B,Vtas (MULTI),"362,418","295,299"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,SENSODYNE,Vtas (MULTI),"21,895","25,431"
T. COSTA RICA AUTOSERVICIOS,DENTIFRICOS,DENTIFRICOS,Vtas Unds,"23,192,029","22,840,138"
