MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,O.MARCAS,Vtas (MULTI),"14,924,720","16,799,595"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"115,096,755","117,081,113"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CLOVER,Vtas Unds,"10,771,772","10,415,541"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Unds,"32,266,963","33,899,607"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"5,147,009","5,462,673"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"12,538,092","13,363,190"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,O.MARCAS,Vtas Unds,"12,429,517","13,619,869"
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CLOVER,Part. de Vtas Valor - CATEGORIA,9.2%,7.7%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,24.3%,24.4%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,4.9%,5.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,10.1%,10.9%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,12.2%,13.6%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CLOVER,Part. de Vtas (MULTI) - CATEGORIA,8.9%,8.2%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,26.5%,27.8%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,5.3%,5.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,10.1%,10.5%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,13.4%,14.5%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CLOVER,Part. de Vtas Unds - CATEGORIA,9.4%,8.9%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,28.0%,29.0%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,4.5%,4.7%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Unds - CATEGORIA,10.9%,11.4%
T. CAM AUTOSERVICIOS.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,10.8%,11.6%
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Valor,"$183,184,700","$188,481,154"
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas Valor,"$21,329,626","$22,039,550"
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Valor,"$24,232,600","$26,838,779"
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas Valor,"$22,445,538","$24,613,164"
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Vtas Valor,"$30,149,972","$30,694,781"
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Vtas Valor,"$18,168,389","$18,831,721"
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas (MULTI),"60,300,240","61,269,159"
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas (MULTI),"6,444,817","6,423,655"
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas (MULTI),"7,883,854","8,376,767"
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas (MULTI),"7,007,334","7,562,660"
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Vtas (MULTI),"11,353,021","11,595,570"
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Vtas (MULTI),"5,447,663","5,790,710"
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"126,165,673","125,451,957"
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"16,168,721","15,511,883"
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Unds,"17,847,759","19,309,657"
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"12,446,690","13,347,900"
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Vtas Unds,"22,026,543","21,604,813"
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Vtas Unds,"10,299,910","10,069,062"
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,11.6%,11.7%
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Valor - CATEGORIA,13.2%,14.2%
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,12.3%,13.1%
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,16.5%,16.3%
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Part. de Vtas Valor - CATEGORIA,9.9%,10.0%
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,10.7%,10.5%
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas (MULTI) - CATEGORIA,13.1%,13.7%
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,11.6%,12.3%
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,18.8%,18.9%
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Part. de Vtas (MULTI) - CATEGORIA,9.0%,9.5%
T. CAM TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. CAM TRADIC.,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,12.8%,12.4%
T. CAM TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Unds - CATEGORIA,14.1%,15.4%
T. CAM TRADIC.,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Unds - CATEGORIA,9.9%,10.6%
T. CAM TRADIC.,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas Unds - CATEGORIA,17.5%,17.2%
T. CAM TRADIC.,ACEITES Y MANTECAS,ORISOL,Part. de Vtas Unds - CATEGORIA,8.2%,8.0%
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Valor,"$124,897,236","$138,886,736"
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Valor,"$13,558,517","$18,248,428"
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Vtas Valor,"$5,159,680","$6,403,202"
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Vtas Valor,"$27,894,855","$30,524,850"
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Valor,"$39,151,161","$37,483,825"
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Vtas Valor,"$12,793,844","$15,332,762"
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas (MULTI),"37,153,894","40,479,461"
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas (MULTI),"3,633,657","5,491,089"
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Vtas (MULTI),"1,681,171","1,959,851"
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Vtas (MULTI),"8,772,171","9,328,183"
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas (MULTI),"12,616,639","12,055,726"
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Vtas (MULTI),"3,719,729","4,416,078"
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"62,427,912","67,748,290"
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Unds,"4,598,724","6,962,981"
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Vtas Unds,"3,724,679","4,746,108"
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"15,542,215","16,360,595"
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Unds,"24,014,940","23,816,989"
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"5,160,734","5,985,471"
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,10.9%,13.1%
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas Valor - CATEGORIA,4.1%,4.6%
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,22.3%,22.0%
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Valor - CATEGORIA,31.3%,27.0%
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,10.2%,11.0%
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,9.8%,13.6%
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas (MULTI) - CATEGORIA,4.5%,4.8%
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,23.6%,23.0%
